Classificacao;filmes;Avaliacoes;mean_duracao
0;66;33432000.0;118.0909090909091
14;65;55584000.0;131.63076923076923
12;49;35445000.0;134.0
16;34;28704000.0;134.41176470588235
18;21;21087000.0;143.8095238095238
10;15;9058000.0;133.93333333333334
